年份,日間及住宿式照顧補助金額(元),生活補助金額(元),輔具補助金額(元)
1995年,37007518.0,123629720.0,67958515.0
1996年,91367929.0,265961218.0,59513472.0
1997年,68788296.0,168770548.0,63790107.0
1998年,174731400.0,160737510.0,82575662.0
1999年,158774563.0,140545519.0,91165386.0
2000年,405985325.0,200025278.0,90801878.0
2001年,613709172.0,226988264.0,120072479.0
2002年,683857039.0,260783050.0,116029058.0
2003年,732591017.0,284047475.0,107883715.0
2004年,596227191.0,442101489.0,112397175.0
2005年,567746993.0,463121103.0,75756940.0
2006年,575093412.0,453011835.0,83586709.0
2007年,530348362.0,461378990.0,84546637.0
2008年,629298222.0,478890887.0,92571409.0
2009年,677897043.0,555969502.0,100592211.0
2010年,745310746.0,632296987.0,110030717.0
2011年,885733255.0,698782757.0,120503733.0
2012年,965652889.0,886671441.0,128348653.0
2013年,1068974334.0,931870934.0,78267283.0
2014年,1157684823.0,955890472.0,85451695.0
2015年,1208106201.0,973132352.0,84549734.0
2016年,1223864793.0,1015161720.0,85613656.0
2017年,1306917858.0,1022467570.0,87374378.0
2018年,1317663133.0,1038353913.0,86944152.0
2019年,1257701052.0,1064596341.0,74646983.0
2020年,1355874069.0,1128426662.0,67300469.0
2021年,1345237599.0,1138270772.0,61302756.0
2022年,1301424240.0,1125117575.0,67322015.0
